DE	de	3113894.0	de
LA	la	1791143.0	la
QUE	que	1613902.0	que
QUES	qués	1452512.8	qué
EL	el	1429003.0	el
EN	en	1397824.0	en
NO	no	759298.0	no
UN	un	711475.0	un
LOS	los	692799.0	los
UNES	unes	640331.7	un;unir
ES	es	596880.0	es;e
UNA	una	537069.0	una;uno;unir
CON	con	505769.0	con
SE	se	499154.0	se
DEL	del	483464.0	del
POR	por	476823.0	por
LAS	las	429103.0	las
PARA	para	426899.0	para;parar;parir
LO	lo	389992.0	lo
SU	su	346291.0	su
COMO	como	303272.0	como;comer
AL	al	302563.0	al
ME	me	260652.0	me
MAS	más	248153.0	más
PERO	pero	199019.0	pero
PEROS	peros	179123.2	pero
SI	si	172005.0	si
MI	mi	165785.0	mi
SIES	síes	154805.9	sí
TE	te	154437.0	te
MIS	mis	152497.8	mis;mi
FUE	fue	151609.0	fue
HA	ha	145548.0	ha
TEZ	tez	138999.90000000002	tez;te
TECES	teces	138993.40000000002	te
LE	le	138472.0	le
ESTA	está	137372.0	está
ESTAS	estas	126412.40000000001	esta;este
SUS	sus	122139.0	sus
ESTE	este	116821.0	este
AHORA	ahora	114244.0	ahora
TODO	todo	110591.0	todo
YO	yo	109515.0	yo
TODOS	todos	107252.5	todo
CUANDO	cuando	103465.0	cuando
TODAS	todas	102719.70000000001	todo
TODA	toda	102320.90000000001	todo
ASI	así	101568.0	así;asir
SER	ser	99689.0	ser
SIDO	sido	93748.0	sido;ser
HAY	hay	92952.0	hay
SIENDO	siendo	91089.6	siendo;ser
SON	son	90741.0	son
MUY	muy	90512.0	muy
SERES	seres	90051.1	seres;ser
SED	sed	89823.3	sed;ser
SIDA	sida	89804.0	sida;ser
SIDOS	sidos	89720.90000000001	ser
SEMOS	semos	89720.40000000001	ser
SIAS	sías	89720.20000000001	ser
SIA	sía	89720.20000000001	ser
SERSE	serse	89720.20000000001	ser
ESO	eso	88475.0	eso
NOS	nos	87151.0	nos
AQUI	aquí	85066.0	aquí
TU	tu	83652.0	tu
ERA	era	82334.0	era;erar;ere
SONES	sones	81667.70000000001	son
SOBRE	sobre	81518.0	sobre;sobrar
ESOS	esos	81215.5	eso
YA	ya	80918.0	ya
TAMBIEN	también	77043.0	también
ESTO	esto	76917.0	esto
VEZ	vez	75805.0	vez
PUEDE	puede	75587.0	puede
